impl,dtype,cache,M,K,N,threads,batch_count,KiB,reps,perf,pct_of_peak,pct_of_peak_xthreads
sve,i8,H2,64,512,512,1,1,416.0,160,391.55,59.02,59.02
neon,i8,H2,64,512,512,1,1,416.0,160,409.22,62.00,62.00
sve,i8,GT_L2,64,512,4096,1,1,3104.0,70,398.68,60.10,60.10
neon,i8,GT_L2,64,512,4096,1,1,3104.0,70,352.64,53.43,53.43
sve,i8,GT_L2,512,512,4096,1,1,10496.0,45,427.89,64.50,64.50
neon,i8,GT_L2,512,512,4096,1,1,10496.0,45,362.07,54.86,54.86
sve,i8,GT_L2,2048,512,4096,1,1,35840.0,18,395.08,59.55,59.55
neon,i8,GT_L2,2048,512,4096,1,1,35840.0,18,366.22,55.49,55.49
sve,i8,GT_L2,64,4096,1024,1,1,4608.0,40,543.32,81.90,81.90
neon,i8,GT_L2,64,4096,1024,1,1,4608.0,40,327.18,49.57,49.57
sve,i8,GT_L2,512,4096,1024,1,1,8192.0,25,554.58,83.60,83.60
neon,i8,GT_L2,512,4096,1024,1,1,8192.0,25,327.09,49.56,49.56
