shape,impl,m,k,n,threads,gops,util_pct
64x512x512,sve_m12,64,512,512,1,454.24,68.47
64x512x512,sve_m8,64,512,512,1,394.93,59.53
64x512x512,neon,64,512,512,1,415.45,62.95
64x512x4096,sve_m12,64,512,4096,1,462.32,69.69
64x512x4096,sve_m8,64,512,4096,1,396.71,59.80
64x512x4096,neon,64,512,4096,1,352.24,53.37
512x512x4096,sve_m12,512,512,4096,1,468.57,70.63
512x512x4096,sve_m8,512,512,4096,1,379.10,57.15
512x512x4096,neon,512,512,4096,1,365.58,55.39
2048x512x4096,sve_m12,2048,512,4096,1,395.25,59.58
2048x512x4096,sve_m8,2048,512,4096,1,394.34,59.44
2048x512x4096,neon,2048,512,4096,1,367.38,55.66
64x4096x1024,sve_m12,64,4096,1024,1,534.21,80.53
64x4096x1024,sve_m8,64,4096,1024,1,534.63,80.59
64x4096x1024,neon,64,4096,1024,1,327.56,49.63
512x4096x1024,sve_m12,512,4096,1024,1,570.93,86.06
512x4096x1024,sve_m8,512,4096,1024,1,550.68,83.01
512x4096x1024,neon,512,4096,1024,1,327.36,49.60
