split,impl,dtype,cache,M,K,N,threads,batch_count,KiB,reps,perf,pct_of_sve_peak,pct_of_sve_peak_xthreads
auto,sve,i8,GT_L2,64,512,4096,1,1,3104.0,50,385.42,58.10,58.10
m,sve,i8,GT_L2,64,512,4096,1,1,3104.0,50,385.20,58.06,58.06
n,sve,i8,GT_L2,64,512,4096,1,1,3104.0,50,389.54,58.72,58.72
auto,sve,i8,GT_L2,512,512,4096,1,1,10496.0,40,385.17,58.06,58.06
m,sve,i8,GT_L2,512,512,4096,1,1,10496.0,40,385.11,58.05,58.05
n,sve,i8,GT_L2,512,512,4096,1,1,10496.0,40,424.91,64.05,64.05
auto,sve,i8,GT_L2,2048,512,4096,1,1,35840.0,15,383.13,57.75,57.75
m,sve,i8,GT_L2,2048,512,4096,1,1,35840.0,15,383.42,57.80,57.80
n,sve,i8,GT_L2,2048,512,4096,1,1,35840.0,15,394.72,59.50,59.50
auto,sve,i8,GT_L2,64,4096,1024,1,1,4608.0,30,496.94,74.91,74.91
m,sve,i8,GT_L2,64,4096,1024,1,1,4608.0,30,497.64,75.01,75.01
n,sve,i8,GT_L2,64,4096,1024,1,1,4608.0,30,538.25,81.13,81.13
auto,sve,i8,GT_L2,512,4096,1024,1,1,8192.0,20,496.91,74.90,74.90
m,sve,i8,GT_L2,512,4096,1024,1,1,8192.0,20,497.74,75.03,75.03
n,sve,i8,GT_L2,512,4096,1024,1,1,8192.0,20,552.72,83.32,83.32
auto,sve,i8,GT_L2,2048,4096,1024,1,1,20480.0,10,493.17,74.34,74.34
m,sve,i8,GT_L2,2048,4096,1024,1,1,20480.0,10,492.15,74.19,74.19
n,sve,i8,GT_L2,2048,4096,1024,1,1,20480.0,10,535.32,80.69,80.69
