shape,threads,split,reps,perf
64x512x512,2,m,20,769.68
64x512x512,2,n,20,740.13
64x512x512,2,2d,20,720.18
64x512x512,4,m,20,1324.71
64x512x512,4,n,20,1140.22
64x512x512,4,2d,20,1127.46
64x512x512,8,m,20,1931.26
64x512x512,8,n,20,1916.96
64x512x512,8,2d,20,1870.69
128x512x1024,2,m,20,717.84
128x512x1024,2,n,20,763.64
128x512x1024,2,2d,20,754.40
128x512x1024,4,m,20,1358.39
128x512x1024,4,n,20,926.19
128x512x1024,4,2d,20,909.23
128x512x1024,8,m,20,2110.93
128x512x1024,8,n,20,639.67
128x512x1024,8,2d,20,646.26
256x512x1024,2,m,8,743.15
256x512x1024,2,n,8,752.13
256x512x1024,2,2d,8,754.27
256x512x1024,4,m,8,1348.27
256x512x1024,4,n,8,1314.11
256x512x1024,4,2d,8,1265.90
256x512x1024,8,m,8,2228.83
256x512x1024,8,n,8,551.61
256x512x1024,8,2d,8,1157.02
512x1024x1024,2,m,8,636.37
512x1024x1024,2,n,8,728.90
512x1024x1024,2,2d,8,684.42
512x1024x1024,4,m,8,1178.30
512x1024x1024,4,n,8,1312.16
512x1024x1024,4,2d,8,1325.89
512x1024x1024,8,m,8,2126.71
512x1024x1024,8,n,8,2262.24
512x1024x1024,8,2d,8,2299.06
2048x4096x8192,2,m,3,578.88
2048x4096x8192,2,n,3,599.13
2048x4096x8192,2,2d,3,598.48
2048x4096x8192,4,m,3,1036.49
2048x4096x8192,4,n,3,1046.84
2048x4096x8192,4,2d,3,1040.60
2048x4096x8192,8,m,3,1882.37
2048x4096x8192,8,n,3,1880.76
2048x4096x8192,8,2d,3,1850.53
